,0,1,2
0,-9999.0,-9999.0,-9999.0
1,-12284211.780857481,11163809.125615919,-20146101.70730498
2,-12284637.090111148,11161153.819388146,-20147278.862703864
3,-12285062.575930778,11158498.38669421,-20148455.565869708
4,-12285488.240027077,11155842.823019305,-20149631.818234857
5,-12285914.080629438,11153187.133108761,-20150807.618312053
6,-12286340.0665172,11150531.348719522,-20151982.967539877
7,-12286766.262651836,11147875.399728052,-20153157.86515732
8,-12287192.635413349,11145219.324601153,-20154332.31041189
9,-12287619.186423225,11142563.118934652,-20155506.304725803
10,-12288045.914683936,11139906.785259811,-20156679.84734628
11,-12288472.819595534,11137250.325683614,-20157852.93751432
12,-12288899.902794916,11134593.735756788,-20159025.5766652
13,-12289327.162592994,11131937.020137083,-20160197.763316214
14,-12289754.568058793,11129280.210365916,-20161369.49888685
15,-12290182.183550393,11126623.236814743,-20162540.78262586
16,-12290609.975826465,11123966.137625933,-20163711.613775637
17,-12291037.946361776,11121308.90852804,-20164881.993768714
18,-12291466.09432101,11118651.551874505,-20166051.921854597
19,-12291894.41916926,11115994.069727965,-20167221.397261996
20,-12292322.922065485,11113336.458151935,-20168390.42142911
21,-12292751.570073087,11110678.755030774,-20169558.993598945
22,-12293180.42743356,11108020.890741521,-20170727.11301582
23,-12293609.463042742,11105362.897033248,-20171894.781116147
24,-12294038.675512142,11102704.778274598,-20173061.996401675
25,-12294468.0662433,11100046.530260045,-20174228.760307763
26,-12294897.634635631,11097388.155097619,-20175395.072078962
27,-12295327.379926927,11094729.655074669,-20176560.930960942
28,-12295757.303438082,11092071.02607453,-20177726.338387404
29,-12296187.371955829,11089412.30639436,-20178891.29358921
30,-12296617.65008912,11086753.425833058,-20180055.79582021
31,-12297048.106553946,11084094.41641662,-20181219.846512455
32,-12297478.739880912,11081435.282604717,-20182383.444172278
33,-12297909.551479401,11078776.020168193,-20183546.590237856
34,-12298340.540974842,11076116.630991735,-20184709.28394158
35,-12298771.707209779,11073457.117788786,-20185871.524538692
36,-12299203.019438667,11070797.512079779,-20187033.313451182
37,-12299634.541911315,11068137.743936883,-20188194.649926886
38,-12300066.241323052,11065477.85177853,-20189355.533221863
39,-12300498.119132921,11062817.831373524,-20190515.96474203
40,-12300930.173975054,11060157.687027209,-20191675.94302006
41,-12301362.407323876,11057497.414463634,-20192835.469475232
42,-12301794.818336712,11054837.016060945,-20193994.543356735
43,-12302227.406339593,11052176.49399647,-20195153.163922157
44,-12302660.140472429,11049515.880022565,-20196311.332574595
45,-12303093.08494813,11046855.10408032,-20197469.04857142
46,-12303526.206275763,11044194.204889715,-20198626.31116387
47,-12303959.506170785,11041533.177905215,-20199783.12176784
48,-12304392.983267035,11038872.027433706,-20200939.478920605
49,-12304826.638782423,11036210.749510664,-20202095.384022567
50,-12305260.472283639,11033549.346045243,-20203250.836332496
51,-12305694.450262262,11030887.855857858,-20204405.835103046
52,-12306128.639371645,11028226.201968744,-20205560.38174745
53,-12306563.00634406,11025564.422906248,-20206714.475525282
54,-12306997.550321661,11022902.521094335,-20207868.115675744
55,-12307432.273027021,11020240.49196369,-20209021.30361751
56,-12307867.173625374,11017578.337871704,-20210174.0386111
57,-12308302.25125122,11014916.06126493,-20211326.31988939
58,-12308737.475359868,11012253.69359866,-20212478.148890913
59,-12309172.908901745,11009591.16735699,-20213629.524130587
60,-12309608.521140844,11006928.514239164,-20214780.44702428
61,-12310044.311250271,11004265.736580936,-20215930.9168411
62,-12310480.278509289,11001602.836694716,-20217080.932801127
63,-12310916.424670724,10998939.80992072,-20218230.496347256
64,-12311352.748556703,10996276.659042053,-20219379.6067208
65,-12311789.249789635,10993613.385946551,-20220528.263164245
66,-12312225.897638965,10990950.022388995,-20221676.467104428
67,-12312662.754705992,10988286.501058983,-20222824.21707527
