,0,1,2
0,-9999.0,-9999.0,-9999.0
1,-18141911.521439474,-5298549.79838069,-18067753.25808526
2,-18143129.548644286,-5300636.708985994,-18065974.754426524
3,-18144347.57270539,-5302723.35399427,-18064195.846753985
4,-18145565.592435308,-5304809.729319091,-18062416.53736084
5,-18146783.608895164,-5306895.838935428,-18060636.824058495
6,-18148001.621475272,-5308981.680836132,-18058856.707986698
7,-18149219.64511874,-5311067.199712251,-18057076.190330535
8,-18150437.64971751,-5313152.50614365,-18055295.268877856
9,-18151655.65030655,-5315237.544645657,-18053513.94476913
10,-18152873.646206975,-5317322.313216666,-18051732.219212502
11,-18154091.638460908,-5319406.8160472335,-18049950.089971993
12,-18155309.626515783,-5321491.050781905,-18048167.55823333
13,-18156527.609718826,-5323575.015525701,-18046384.62514992
14,-18157745.60476115,-5325658.66107277,-18044601.288495313
15,-18158963.579176877,-5327742.089889236,-18042817.55060188
16,-18160181.54972818,-5329825.252507991,-18041033.409242228
17,-18161399.51572348,-5331908.147166579,-18039248.865569968
18,-18162617.47664997,-5333990.771378359,-18037463.920773245
19,-18163835.43343182,-5336073.129728572,-18035678.57261201
20,-18165053.385507017,-5338155.219820238,-18033892.822296396
21,-18166271.33234495,-5340237.039384232,-18032106.670970764
22,-18167489.290562548,-5342318.539559696,-18030320.116415743
23,-18168707.22764657,-5344399.822782101,-18028533.160945714
24,-18169925.160412066,-5346480.839575242,-18026745.802318018
25,-18171143.08818613,-5348561.587960587,-18024958.041732993
26,-18172361.01031158,-5350642.066023751,-18023169.880358603
27,-18173578.9279781,-5352722.277401659,-18021381.315961905
28,-18174796.840401236,-5354802.220534048,-18019592.349732924
29,-18176014.762836743,-5356881.839592457,-18017802.982817978
30,-18177232.664776515,-5358961.245663162,-18016013.213016283
31,-18178450.56085591,-5361040.380977711,-18014223.042634957
32,-18179668.452102806,-5363119.249679601,-18012432.46944969
33,-18180886.337826326,-5365197.850008593,-18010641.49461836
34,-18182104.217598896,-5367276.179236582,-18008850.11932217
35,-18183322.092325535,-5369354.241881946,-18007058.341346495
36,-18184539.9771336,-5371431.9825570015,-18005266.161872253
37,-18185757.839994628,-5373509.50561148,-18003473.582059264
38,-18186975.697679516,-5375586.761870174,-18001680.599680133
39,-18188193.549045637,-5377663.747123433,-17999887.217046227
40,-18189411.395030756,-5379740.465735102,-17998093.431951612
41,-18190629.23506693,-5381816.915570436,-17996299.245545067
42,-18191847.068683583,-5383893.094013259,-17994504.659021042
43,-18193064.896754924,-5385969.005755028,-17992709.670138657
44,-18194282.7345753,-5388044.594983631,-17990914.280080855
45,-18195500.549891807,-5390119.966461497,-17989118.490031928
46,-18196718.35952763,-5392195.071004298,-17987322.297749333
47,-18197936.162934136,-5394269.906260702,-17985525.70442816
48,-18199153.9594659,-5396344.470361993,-17983728.7112197
49,-18200371.750176523,-5398418.767272973,-17981931.31591358
50,-18201589.53392539,-5400492.792786717,-17980133.52082685
51,-18202807.327544097,-5402566.497821588,-17978335.32371445
52,-18204025.098689638,-5404639.9871695945,-17976536.725772966
53,-18205242.862788253,-5406713.204797133,-17974737.728154887
54,-18206460.620701198,-5408786.155351342,-17972938.32863614
55,-18207678.371875506,-5410858.836460607,-17971138.528425228
56,-18208896.11575018,-5412931.246013716,-17969338.328664217
57,-18210113.8533723,-5415003.387952274,-17967537.727150064
58,-18211331.583494794,-5417075.258511376,-17965736.726181462
59,-18212549.323035587,-5419146.808446581,-17963935.323509354
60,-18213767.0397813,-5421218.141770688,-17962133.520354893
61,-18214984.748892598,-5423289.203482386,-17960331.31787266
62,-18216202.451312654,-5425359.99798346,-17958528.71382338
63,-18217420.146573555,-5427430.522659501,-17956725.709406424
64,-18218637.834075455,-5429500.775532669,-17954922.305765953
65,-18219855.514814414,-5431570.760633049,-17953118.500717424
66,-18221073.20360071,-5433640.420393369,-17951314.29655231
67,-18222290.869477674,-5435709.8661993,-17949509.691029068
68,-18223508.527944252,-5437779.04188004,-17947704.685348254
69,-18224726.17831678,-5439847.945702367,-17945899.28066655
70,-18225943.821645264,-5441916.581626161,-17944093.474763274
71,-18227161.457309715,-5443984.947589519,-17942287.268828608
72,-18228379.084705777,-5446053.041594495,-17940480.664020017
73,-18229596.704838227,-5448120.867711743,-17938673.65812658
74,-18230814.332646485,-5450188.3680821555,-17936866.253443826
75,-18232031.937064864,-5452255.654104676,-17935058.447748728
76,-18233249.53356781,-5454322.669867025,-17933250.24223274
77,-18234467.12146695,-5456389.413616152,-17931441.638065856
78,-18235684.701900497,-5458455.88908709,-17929632.633000884
79,-18236902.27424914,-5460522.094218902,-17927823.228230156
80,-18238119.837779783,-5462588.0273706075,-17926013.424935687
81,-18239337.40964353,-5464653.638752503,-17924203.22089132
82,-18240554.956759322,-5466719.030923494,-17922392.618396852
83,-18241772.49595378,-5468784.155158765,-17920581.61522511
84,-18242990.0267324,-5470849.009021181,-17918770.212558415
