,0,1,2
0,-9999.0,-9999.0,-9999.0
1,-1797201.1366861898,-15373488.515552096,22178539.592645306
2,-1794713.5493641756,-15374458.392867437,22178056.259828486
3,-1792226.0790079224,-15375428.404343635,22177572.48046037
4,-1789738.7213080162,-15376398.551302029,22177088.25394988
5,-1787251.478481703,-15377368.83303087,22176603.580610808
6,-1784764.3531487307,-15378339.248780178,22176118.460752014
7,-1782277.3405297534,-15379309.799930071,22175632.89377777
8,-1779790.4882307688,-15380280.480524853,22175146.879996706
9,-1777303.7081859848,-15381251.300303748,22174660.41972757
10,-1774817.0411365828,-15382222.255375506,22174173.512369998
11,-1772330.4918628046,-15383193.344310367,22173686.158540476
12,-1769844.0554735407,-15384164.568500713,22173198.357640553
13,-1767357.7344765316,-15385135.927209811,22172710.109980244
14,-1764871.531334989,-15386107.419693436,22172221.415879812
15,-1762385.441247329,-15387079.047337519,22171732.274736106
16,-1759899.51208854,-15388050.80421259,22171242.686863065
17,-1757413.6557019106,-15389022.69995488,22170752.652575687
18,-1754927.9125159543,-15389994.730769387,22170262.171269182
19,-1752442.287579465,-15390966.89518772,22169771.243570693
20,-1749956.776202953,-15391939.194582518,22169279.868874304
21,-1747471.380692551,-15392911.628236154,22168788.047495376
22,-1744986.1032422604,-15393884.19544382,22168295.779750384
23,-1742500.9846396216,-15394856.892430222,22167803.06503179
24,-1740015.9370686975,-15395829.728677524,22167309.903661884
25,-1737531.0077269264,-15396802.69838378,22166816.29595498
26,-1735046.1922835829,-15397775.802876087,22166322.24130492
27,-1732561.4931566278,-15398749.041424332,22165827.740028776
28,-1730076.9122932572,-15399722.413355794,22165332.792441662
29,-1727592.445856113,-15400695.919933379,22164837.397941977
30,-1725108.1429784836,-15401669.554765427,22164341.5571539
31,-1722623.9091232107,-15402643.32929026,22163845.269468475
32,-1720139.791866043,-15403617.237712307,22163348.535204273
33,-1717655.7931314153,-15404591.279365497,22162851.354674716
34,-1715171.90901531,-15405565.455511602,22162353.727281656
35,-1712688.1415317317,-15406539.76547888,22161855.653335173
36,-1710204.4929415586,-15407514.208541961,22161357.133165084
37,-1707720.9588472457,-15408488.786047945,22160858.166149884
38,-1705237.5890993346,-15409463.491581623,22160358.752921373
39,-1702754.2887119306,-15410438.336500574,22159858.89287245
