,0,1,2
0,-9999.0,-9999.0,-9999.0
1,-21472141.37055983,-10197711.534520086,-11248477.984665705
2,-21473086.327655755,-10198917.148469387,-11245723.687366508
3,-21474031.1040615,-10200122.453418884,-11242969.14528277
4,-21474975.69990014,-10201327.453040484,-11240214.354989862
5,-21475920.11476382,-10202532.146048274,-11237459.318301737
6,-21476864.34898897,-10203736.529611602,-11234704.037015824
7,-21477808.402323928,-10204940.608148357,-11231948.507740894
8,-21478752.304735895,-10206144.316489829,-11229192.73225699
9,-21479695.9960465,-10207347.779204452,-11226436.712327825
10,-21480639.506443303,-10208550.936603365,-11223680.444595573
11,-21481582.83569261,-10209753.785049919,-11220923.932594039
12,-21482525.98376737,-10210956.328543551,-11218167.172879003
13,-21483468.950779766,-10212158.564688515,-11215410.167282857
14,-21484411.73640188,-10213360.492096335,-11212652.917569965
15,-21485354.370701794,-10214562.051401816,-11209895.420346582
16,-21486296.793671504,-10215763.36669215,-11207137.677428659
17,-21487239.035154317,-10216964.373113679,-11204379.690580847
18,-21488181.09526477,-10218165.074282609,-11201621.456425859
19,-21489122.97362448,-10219365.46689466,-11198862.978482826
20,-21490064.670500882,-10220565.554321814,-11196104.253305003
21,-21491006.185782336,-10221765.334603855,-11193345.28276057
22,-21491947.519217763,-10222964.806214731,-11190586.068597881
23,-21492888.70082503,-10224163.909904003,-11187826.60743797
24,-21493829.670766927,-10225362.769369725,-11185066.901063649
25,-21494770.45861877,-10226561.320362821,-11182306.95124092
26,-21495711.064638708,-10227759.56615012,-11179546.75462437
27,-21496651.48879798,-10228957.504719472,-11176786.31297991
28,-21497591.730546318,-10230155.135136897,-11174025.628091266
29,-21498531.790441062,-10231352.460077163,-11171264.696577767
30,-21499471.69803955,-10232549.41338934,-11168503.521927495
31,-21500411.393444926,-10233746.124730742,-11165742.100793848
32,-21501350.906555343,-10234942.529208286,-11162980.434943354
33,-21502290.23719353,-10236138.625106819,-11160218.526160508
34,-21503229.385543063,-10237334.415881623,-11157456.371063188
35,-21504168.35142766,-10238529.899834702,-11154693.971418506
36,-21505107.13481716,-10239725.074903991,-11151931.329045882
37,-21506045.735597342,-10240919.945187088,-11149168.440544996
