,0,1,2
0,-9999.0,-9999.0,-9999.0
1,-23268019.308556426,-12786878.128248394,1080813.3496952883
2,-23267857.49608314,-12787049.413390884,1084023.991971487
3,-23267695.337920003,-12787220.518474218,1087234.611231192
4,-23267532.834843736,-12787391.442179592,1090445.2053443585
5,-23267369.985255763,-12787562.187271135,1093655.7783269272
6,-23267206.790522847,-12787732.75143501,1096866.3260469248
7,-23267043.249438237,-12787903.136722695,1100076.8524601792
8,-23266879.362744715,-12788073.341873817,1103287.3555367612
9,-23266715.168266524,-12788243.29817039,1106497.8331067753
10,-23266550.589679997,-12788413.144325493,1109708.2892058305
11,-23266385.665532492,-12788582.810301183,1112918.721724077
12,-23266220.396130603,-12788752.295637775,1116129.1285516191
13,-23266054.779972102,-12788921.602916503,1119339.5136841554
14,-23265888.81878595,-12789090.729171708,1122549.87303
15,-23265722.510896694,-12789259.677299442,1125760.2105447564
16,-23265555.894663885,-12789428.377616553,1128970.5241386744
17,-23265388.895579297,-12789596.965764917,1132180.8117017346
18,-23265221.549825426,-12789765.375766046,1135391.077229597
19,-23265053.858254395,-12789933.606168367,1138601.3186524736
20,-23264885.821081635,-12790101.656682348,1141811.533860604
21,-23264717.437373437,-12790269.528848533,1145021.7268094227
22,-23264548.707603592,-12790437.221904341,1148231.895449208
23,-23264379.632367298,-12790604.734872017,1151442.0376502364
24,-23264210.247841958,-12790772.00178772,1154652.157428009
25,-23264040.480486292,-12790939.156604655,1157862.2506509467
26,-23263870.366217766,-12791106.13383101,1161072.3212744435
27,-23263699.905790478,-12791272.93219705,1164282.3672488616
28,-23263529.099893957,-12791439.550556324,1167492.3864445647
29,-23263357.947205026,-12791605.99114779,1170702.3828567844
30,-23263186.448292375,-12791772.253040629,1173912.3544359342
31,-23263014.64118249,-12791938.267192025,1177122.2990125013
32,-23262842.449799515,-12792104.17178035,1180332.2206214527
33,-23262669.91275866,-12792269.89678194,1183542.11511177
34,-23262497.028827656,-12792435.44426539,1186751.986478539
35,-23262323.798483223,-12792600.813469736,1189961.8326722556
36,-23262150.222523738,-12792766.003057059,1193171.6515233954
37,-23261976.299615573,-12792931.015276078,1196381.4470469654
38,-23261802.067841377,-12793095.78098842,1199591.21719362
39,-23261627.452697273,-12793260.435781917,1202800.9597936766
40,-23261452.490625404,-12793424.91321093,1206010.678902186
41,-23261277.182843406,-12793589.211274007,1209220.37032827
42,-23261101.527829334,-12793753.332557146,1212430.03808678
43,-23260925.526441064,-12793917.275611743,1215639.6801083405
44,-23260749.179185815,-12794081.039631916,1218849.2942635994
45,-23260572.48471952,-12794244.62687608,1222058.8845873298
46,-23260395.48126514,-12794407.967972122,1225268.4489102466
47,-23260218.094550833,-12794571.19806252,1228477.9851828965
48,-23260040.360574342,-12794734.251515301,1231687.4974000352
49,-23259862.280543216,-12794897.126354167,1234896.9814110901
50,-23259683.85349051,-12795059.824147802,1238106.4412306654
51,-23259505.079638213,-12795222.34461011,1241315.8747494994
52,-23259325.959860913,-12795384.686270814,1244525.2798584008
53,-23259146.530337185,-12795546.783174131,1247734.660571983
