,0,1,2
0,-9999.0,-9999.0,-9999.0
1,6197584.420457779,-19540572.047624167,17483695.711021222
2,6199329.53581394,-19541748.497374475,17481694.06716468
3,6201074.388246587,-19542924.907771125,17479692.065731812
4,6202818.918391309,-19544101.296478387,17477689.7080471
5,6204563.238759286,-19545277.62666996,17475686.995373495
6,6206307.296080907,-19546453.917319015,17473683.925277498
7,6208051.088662923,-19547630.167829946,17471680.499034323
8,6209794.613939433,-19548806.37787399,17469676.717932623
9,6211537.876268103,-19549982.548159517,17467672.579512555
10,6213280.871533948,-19551158.677771326,17465668.086312562
11,6215023.603402702,-19552334.767647833,17463663.235859435
12,6216766.013214431,-19553510.835273467,17461658.02946706
13,6218508.212805291,-19554686.843962606,17459652.468412712
14,6220250.149485095,-19555862.812555626,17457646.5502344
15,6221991.820992633,-19557038.740638513,17455640.276209164
16,6223733.22529236,-19558214.62769365,17453633.64765247
17,6225474.366333288,-19559390.474567734,17451626.66208854
18,6227215.242119378,-19560566.280752055,17449619.320807595
19,6228955.79315355,-19561742.064048238,17447611.625100806
20,6230696.13838361,-19562917.788687628,17445603.572491
21,6232436.216159496,-19564093.47205327,17443595.16554663
22,6234176.030856292,-19565269.114854753,17441586.401789688
23,6235915.579766714,-19566444.716810636,17439577.28251155
24,6237654.861465114,-19567620.27723175,17437567.809004538
25,6239393.880041324,-19568795.796917625,17435557.978789292
26,6241132.632910942,-19569971.27553743,17433547.79317044
27,6242871.060957711,-19571146.730793852,17431537.253453497
28,6244609.28304056,-19572322.12688008,17429526.35715783
29,6246347.237665614,-19573497.481185388,17427515.106830414
30,6248084.928779113,-19574672.79455367,17425503.499989744
31,6249822.354204665,-19575848.066514056,17423491.537954114
32,6251559.512252835,-19577023.296473138,17421479.222005136
33,6253296.406564667,-19578198.48536066,17419466.5496725
34,6255032.978020211,-19579373.650919598,17417453.52225012
35,6256769.339178667,-19580548.756061804,17415440.141020264
36,6258505.436803469,-19581723.819861334,17413426.40353647
37,6260241.266663005,-19582898.84145899,17411412.31233672
38,6261976.832966989,-19584073.82160138,17409397.864948604
39,6263712.133579535,-19585248.75982747,17407383.06266715
40,6265447.166669798,-19586423.65559002,17405367.906775765
41,6267181.878117609,-19587598.528276183,17403352.3948258
42,6268916.381528469,-19588773.340407968,17401336.528100442
43,6270650.617335822,-19589948.109896664,17399320.30789634
44,6272384.589035614,-19591122.83771558,17397303.73173838
45,6274118.292968032,-19592297.522824857,17395286.80216823
46,6275851.733016836,-19593472.166051537,17393269.51673506
47,6277584.907351782,-19594646.766848683,17391251.87672318
48,6279317.81383828,-19595821.3247566,17389233.883430406
49,6281050.398793832,-19596995.85907372,17387215.534379464
50,6282782.775452606,-19598170.332378082,17385196.83085535
51,6284514.884181959,-19599344.762613658,17383177.774181698
52,6286246.728780901,-19600519.15066538,17381158.361867357
53,6287978.3055719,-19601693.495490346,17379138.596470136
54,6289709.61819126,-19602867.79801431,17377118.4755106
55,6291440.664809718,-19604042.057691094,17375098.000274874
56,6293171.443559196,-19605216.273965914,17373077.172075167
57,6294901.900708197,-19606390.46617172,17371055.988443315
58,6296632.149261825,-19607564.59689749,17369034.45066616
59,6298362.129600219,-19608738.68413773,17367012.560043987
