,0,1,2
0,-9999.0,-9999.0,-9999.0
1,-16496161.277586155,-12489213.932332305,17241774.560618497
2,-16494085.163794596,-12489232.85724824,17243818.546823982
3,-16492008.801943822,-12489251.897593338,17245862.18245747
4,-16489932.194309408,-12489271.052162655,17247905.466204457
5,-16487855.342622342,-12489290.320471333,17249948.3967513
6,-16485778.243097091,-12489309.704207337,17251990.97661859
7,-16483700.899747124,-12489329.201621354,17254033.203180965
8,-16481623.345260909,-12489348.766216341,17256075.078996453
9,-16479545.508527724,-12489368.493673716,17258116.602726012
10,-16477467.427919291,-12489388.335167157,17260157.77304451
11,-16475389.099811636,-12489408.29215213,17262198.59248309
12,-16473310.526246365,-12489428.363768697,17264239.0597036
13,-16471231.708846178,-12489448.549659306,17266279.17340694
14,-16469152.644205296,-12489468.851024352,17268318.936097533
15,-16467073.336102122,-12489489.266377553,17270358.34519178
16,-16464993.817369912,-12489509.749127368,17272397.403206006
17,-16462914.016625714,-12489530.39521742,17274436.10880306
18,-16460833.972478332,-12489551.155525872,17276474.46068506
19,-16458753.68133872,-12489572.03149263,17278512.461354226
20,-16456673.145030713,-12489593.022512792,17280550.10949968
21,-16454592.365269218,-12489614.128108751,17282587.403824136
22,-16452511.338774195,-12489635.349345898,17284624.3468031
23,-16450430.103882689,-12489656.637510473,17286660.93713918
24,-16448348.589175198,-12489678.088475982,17288697.173522864
25,-16446266.82768303,-12489699.65543981,17290733.058453903
26,-16444184.82316942,-12489721.336923664,17292768.589366306
27,-16442102.572080228,-12489743.134351946,17294803.768733483
28,-16440020.076221917,-12489765.047127308,17296838.595259033
29,-16437937.33742022,-12489787.074644815,17298873.067634802
30,-16435854.352173675,-12489809.21822434,17300907.18835824
31,-16433771.158911956,-12489831.429081231,17302940.95613374
32,-16431687.68616232,-12489853.80309562,17304974.369628277
33,-16429603.96720816,-12489876.293162335,17307007.431350775
34,-16427520.005561233,-12489898.89815447,17309040.138726164
35,-16425435.797627721,-12489921.619511267,17311072.49424976
36,-16423351.345215345,-12489944.456635313,17313104.496626984
37,-16421266.65064289,-12489967.408309003,17315136.14452613
38,-16419181.746447062,-12489990.428439682,17317167.440466613
39,-16417096.561245807,-12490013.612702217,17319198.38311639
40,-16415011.133925425,-12490036.9117514,17321228.971182533
41,-16412925.460599046,-12490060.327392213,17323259.207170386
42,-16410839.545000013,-12490083.858243542,17325289.088483155
43,-16408753.38351343,-12490107.505751928,17327318.617625345
44,-16406666.97805791,-12490131.269192979,17329347.793291513
45,-16404580.330643494,-12490155.147723012,17331376.614177126
46,-16402493.474005515,-12490179.095050989,17333405.082785465
47,-16400406.33694386,-12490203.206515243,17335433.19778632
48,-16398318.958074048,-12490227.433178147,17337460.957888566
49,-16396231.33370723,-12490251.7765977,17339488.365581434
50,-16394143.467269288,-12490276.235766124,17341515.418297026
51,-16392055.355506476,-12490300.811652435,17343542.118536357
52,-16389967.000103366,-12490325.503875015,17345568.46497052
53,-16387878.43967697,-12490350.263545195,17347594.456309542
54,-16385789.59737925,-12490375.188213162,17349620.095040325
55,-16383700.51157306,-12490400.229334243,17351645.379860044
56,-16381611.184342364,-12490425.385953486,17353670.309479263
57,-16379521.611760722,-12490450.65997081,17355694.886358533
58,-16377431.796075031,-12490476.050200507,17357719.10922083
59,-16375341.73908114,-12490501.556134015,17359742.97672696
60,-16373251.473473797,-12490527.131580004,17361766.491399333
61,-16371160.930159854,-12490552.87060311,17363789.65067481
62,-16369070.142017862,-12490578.726848662,17365812.45701183
63,-16366979.110587211,-12490604.700076513,17367834.909121927
64,-16364887.838153662,-12490630.789086197,17369857.005704883
65,-16362796.320932733,-12490656.99555394,17371878.74924299
66,-16360704.560899941,-12490683.318651874,17373900.138461046
67,-16358612.559871187,-12490709.757863607,17375921.172009114
68,-16356520.350830732,-12490736.266681552,17377941.852393474
69,-16354427.86441417,-12490762.939430015,17379962.177054584
70,-16352335.133369885,-12490789.729937032,17381982.148472648
71,-16350242.15978387,-12490816.637248164,17384001.765360992
72,-16348148.945526248,-12490843.660743251,17386021.02639604
73,-16346055.486791383,-12490870.802105539,17388039.93406921
74,-16343961.785665687,-12490898.060380807,17390058.48709449
75,-16341867.880573617,-12490925.387142325,17392076.68413653
76,-16339773.694582347,-12490952.879699927,17394094.527722996
77,-16337679.268262755,-12490980.488503918,17396112.015260454
78,-16335584.597625932,-12491008.215474982,17398129.149238113
79,-16333489.684959644,-12491036.0594137,17400145.928358544
80,-16331394.532097846,-12491064.019715153,17402162.351325184
81,-16329299.13505073,-12491092.098299736,17404178.420625947
82,-16327203.495852616,-12491120.294317052,17406194.1349515
83,-16325107.653365575,-12491148.558803044,17408209.492980916
84,-16323011.530399181,-12491176.989317754,17410224.49722578
85,-16320915.167308228,-12491205.53661374,17412239.14512143
86,-16318818.560374066,-12491234.202254586,17414253.439153556
87,-16316721.711813612,-12491262.985152649,17416267.378013995
88,-16314624.62331784,-12491291.884925181,17418280.96038292
89,-16312527.291220598,-12491320.903032143,17420294.188769855
90,-16310429.75416597,-12491349.990805395,17422307.06187993
91,-16308331.940681946,-12491379.243400853,17424319.57839387
92,-16306233.883856991,-12491408.614312716,17426331.74079483
93,-16304135.587312287,-12491438.102294736,17428343.546534244
94,-16302037.047527308,-12491467.708665283,17430354.99808178
95,-16299938.266319219,-12491497.43282686,17432366.094156202
96,-16297839.245452372,-12491527.274285369,17434376.83345206
97,-16295740.018233798,-12491557.186331743,17436387.21842528
98,-16293640.513115896,-12491587.264065986,17438397.247807667
99,-16291540.768619671,-12491617.459071493,17440406.92026951
100,-16289440.781075705,-12491647.7728078,17442416.238315456
101,-16287340.552392928,-12491678.204558838,17444425.200665627
102,-16285240.08477538,-12491708.753326038,17446433.80596585
103,-16283139.374060713,-12491739.421176562,17448442.056744523
104,-16281038.424312122,-12491770.206359848,17450449.950407933
105,-16278937.26848723,-12491801.062601957,17452457.489458587
106,-16276835.835147915,-12491832.08477814,17454464.67261758
107,-16274734.162763905,-12491863.224624278,17456471.498532046
108,-16272632.247917231,-12491894.483251935,17458477.969715618
109,-16270530.09217337,-12491925.860411182,17460484.0848777
110,-16268427.697881877,-12491957.354882186,17462489.842691094
111,-16266325.060877958,-12491988.968731135,17464495.24568059
112,-16264222.222166816,-12492020.652147671,17466500.29123122
113,-16262119.10425273,-12492052.502694992,17468504.981854223
114,-16260015.745967265,-12492084.471598256,17470509.31626025
