,0,1,2
0,-9999.0,-9999.0,-9999.0
1,10294588.142368905,-22717563.3565945,9728234.472657502
2,10295466.401942272,-22718326.752837062,9725345.591693807
3,10296344.389322376,-22719089.926040277,9722456.51043036
4,10297222.108151855,-22719852.875940062,9719567.225358846
5,10298099.4894353,-22720615.633044813,9716677.738321206
6,10298976.665842999,-22721378.136453446,9713788.051177979
7,10299853.572941257,-22722140.4167689,9710898.160384007
8,10300730.210009864,-22722902.473554686,9708008.067781681
9,10301606.575124398,-22723664.306899358,9705117.775267927
10,10302482.67131222,-22724425.91683659,9702227.279278861
11,10303358.495927736,-22725187.303074,9699336.583477829
12,10304233.984848684,-22725948.496083576,9696445.684318433
13,10305109.270131856,-22726709.435228694,9693554.583643734
14,10305984.283714605,-22727470.150585625,9690663.283351319
15,10306859.028623002,-22728230.642186273,9687771.779876048
16,10307733.502964698,-22728990.91012026,9684880.075079395
17,10308607.7058403,-22729750.954027887,9681988.170823263
18,10309481.640109628,-22730510.77401502,9679096.063541776
19,10310355.302601757,-22731270.370016992,9676203.756936414
20,10311228.629686322,-22732029.772298664,9673311.247440778
21,10312101.753275815,-22732788.920258716,9670418.536917018
22,10312974.605488017,-22733547.843920458,9667525.627227655
23,10313847.188850585,-22734306.543538123,9664632.51480563
24,10314719.502267877,-22735065.01882759,9661739.201549478
25,10315591.544046197,-22735823.269805767,9658845.689286105
26,10316463.31716134,-22736581.29650066,9655951.97450181
27,10317334.753745154,-22737339.128956422,9653058.059023343
28,10318205.985049525,-22738096.7068379,9650163.944750171
29,10319076.948255498,-22738854.06004686,9647269.628113763
30,10319947.640061427,-22739611.188597735,9644375.11278224
31,10320818.063142423,-22740368.09266702,9641480.395204613
32,10321688.216435637,-22741124.77197201,9638585.477244405
33,10322558.0982328,-22741881.226531092,9635690.360747557
34,10323427.711673077,-22742637.456294388,9632795.042198425
35,10324296.988375328,-22743393.4915532,9629899.523424812
36,10325166.060274214,-22744149.27163267,9627003.806345275
37,10326034.864231661,-22744904.826602247,9624107.887353208
38,10326903.396286264,-22745660.15677983,9621211.770118762
39,10327771.660237841,-22746415.26181333,9618315.45112513
40,10328639.654725453,-22747170.141571596,9615418.932200707
41,10329507.377482355,-22747924.79629995,9612522.21526475
42,10330374.765351547,-22748679.256086327,9609625.296709344
43,10331241.950362343,-22749433.46022105,9606728.178381395
44,10332108.86401171,-22750187.439012785,9603830.862236643
45,10332975.509530593,-22750941.1924079,9600933.344648402
46,10333841.883605897,-22751694.72042677,9598035.629306996
47,10334707.989570502,-22752448.022939857,9595137.712657448
48,10335573.82623019,-22753201.09974222,9592239.59652926
49,10336439.391287738,-22753953.951080907,9589341.28287884
50,10337304.621416664,-22754706.60713642,9586442.768078255
51,10338169.649163771,-22755459.006934196,9583544.05399348
52,10339034.40554441,-22756211.181030486,9580645.142545188
53,10339898.893952824,-22756963.129293557,9577746.03010473
54,10340763.11104678,-22757714.851746757,9574846.720400594
55,10341627.06051974,-22758466.348107185,9571947.209839744
56,10342490.740138013,-22759217.618622728,9569047.500306876
57,10343354.081909139,-22759968.6934196,9566147.593705254
58,10344217.222863598,-22760719.51163366,9563247.48640498
59,10345080.094017496,-22761470.103839874,9560347.180309206
60,10345942.69395026,-22762220.469911333,9557446.677321631
61,10346805.026369669,-22762970.609562777,9554545.97382965
62,10347667.087801576,-22763720.52289581,9551645.07352762
63,10348528.881424854,-22764470.209850356,9548743.972838663
64,10349390.338751318,-22765219.700796805,9545842.673648503
65,10350251.592029365,-22765968.93484318,9542941.177861491
66,10351112.577552857,-22766717.942347605,9540039.481863804
67,10351973.29360207,-22767466.723334424,9537137.587523442
68,10352833.738923337,-22768215.277602836,9534235.496745171
69,10353693.916362785,-22768963.60524126,9531333.205950601
70,10354553.82454816,-22769711.706123892,9528430.716990063
71,10355413.4622106,-22770459.580050536,9525528.031786745
72,10356272.765141232,-22771207.25762584,9522625.146707287
73,10357131.864037773,-22771954.677923374,9519722.065485043
74,10357990.69547432,-22772701.871167976,9516818.78454043
75,10358849.257747965,-22773448.837385494,9513915.305724394
76,10359707.549424933,-22774195.576451954,9511011.63096085
77,10360565.573230611,-22774942.088528212,9508107.756615134
78,10361423.328078287,-22775688.373339333,9505203.684592893
79,10362280.745267874,-22776434.461372383,9502299.41680031
80,10363137.96192091,-22777180.29164399,9499394.94960201
81,10363994.907738078,-22777925.894645113,9496490.286751544
82,10364851.586090583,-22778671.270233333,9493585.424631095
83,10365707.995608106,-22779416.41828516,9490680.365092708
84,10366564.13451095,-22780161.338829037,9487775.110079378
85,10367420.005838098,-22780906.031872276,9484869.655972628
86,10368275.608338261,-22781650.497216765,9481964.004679186
87,10369130.873492332,-22782394.76529565,9479058.15806997
88,10369985.937957386,-22783138.775308732,9476152.112507693
89,10370840.73205055,-22783882.557468504,9473245.871784145
90,10371695.258825107,-22784626.11178042,9470339.432261491
91,10372549.516564745,-22785369.438273456,9467432.795810845
92,10373403.503838094,-22786112.53682665,9464525.9643582
93,10374257.22387921,-22786855.407368816,9461618.934246836
94,10375110.608573098,-22787598.080125503,9458711.707438868
95,10375963.789356528,-22788340.494511817,9455804.285788197
96,10376816.702947082,-22789082.68072424,9452896.665673636
97,10377669.346496155,-22789824.638576053,9449988.8508528
98,10378521.722723374,-22790566.36822084,9447080.83768587
99,10379373.830213726,-22791307.869538303,9444172.628081262
100,10380225.667055348,-22792049.142635405,9441264.22394787
101,10381077.237293635,-22792790.18706056,9438355.62164516
102,10381928.47183384,-22793531.03351369,9435446.823100029
103,10382779.502646038,-22794271.62114507,9432537.830167377
104,10383630.266728729,-22795011.980017267,9429628.63926036
105,10384480.762170417,-22795752.110237673,9426719.25228815
106,10385330.987257224,-22796492.01183872,9423809.671124117
107,10386180.945519863,-22797231.684593245,9420899.892144427
108,10387030.633631049,-22797971.128545064,9417989.919091333
109,10387879.987757072,-22798710.374152552,9415079.748358633
110,10388729.140349617,-22799449.360305447,9412169.381856153
111,10389578.022681236,-22800188.11756963,9409258.821457937
112,10390426.638447264,-22800926.645640492,9406348.0635389
113,10391274.9852552,-22801664.944853723,9403437.109991096
114,10392123.062174805,-22802403.01486565,9400525.962743398
115,10392970.872553332,-22803140.85552181,9397614.618188115
116,10393818.412599195,-22803878.467095733,9394703.080033287
117,10394665.619138667,-22804615.87976018,9391791.344652604
118,10395512.623995593,-22805353.032669026,9388879.41395691
119,10396359.3590587,-22806089.956107404,9385967.289857566
120,10397205.82753925,-22806826.64999442,9383054.968709415
121,10398052.027346248,-22807563.114516515,9380142.452441862
122,10398897.957281591,-22808299.34948212,9377229.742912129
123,10399743.620674727,-22809035.35473399,9374316.83652885
124,10400588.947319834,-22809771.160818752,9371403.737038272
125,10401434.07402475,-22810506.706738446,9368490.440794056
126,10402278.932482155,-22811242.0228721,9365576.949726235
127,10403123.521479152,-22811977.10902912,9362663.265710855
128,10403967.843560873,-22812711.965428464,9359749.385100827
129,10404811.897436136,-22813446.59188008,9356835.30986288
130,10405655.681923654,-22814180.988193613,9353921.041837165
131,10406499.132607242,-22814915.185101602,9351006.577448457
132,10407342.380489517,-22815649.121404048,9348091.920408793
133,10408185.362048453,-22816382.82745112,9345177.067069793
134,10409028.075329507,-22817116.303356614,9342262.019398928
135,10409870.519136608,-22817849.548931178,9339346.779255075
136,10410712.696329143,-22818582.56423974,9336431.343007332
137,10411554.60564842,-22819315.349093378,9333515.712587193
138,10412396.245416284,-22820047.90353039,9330599.889835773
139,10413237.551664002,-22820780.25807346,9327683.871212306
140,10414078.655280538,-22821512.351561546,9324767.660412611
141,10414919.492874986,-22822244.21428596,9321851.253804596
142,10415760.062193148,-22822975.84651341,9318934.653320385
143,10416600.36238784,-22823707.247904215,9316017.860801678
144,10417440.395755643,-22824438.41874852,9313100.872688415
145,10418280.161734706,-22825169.35855534,9310183.690876724
146,10419119.59087164,-22825900.09829474,9307266.317226864
147,10419958.82099711,-22826630.576397996,9304348.74815988
148,10420797.783324119,-22827360.823529318,9301430.985535925
149,10421636.476279663,-22828090.839653987,9298513.031270202
