,0,1,2
0,-9999.0,-9999.0,-9999.0
1,-11951473.69750515,23387473.517652217,-3373137.9023714243
2,-11951498.135696571,23386922.59880702,-3376313.377896747
3,-11951522.462479375,23386371.304782633,-3379488.782919349
4,-11951546.606495809,23385819.67273417,-3382664.113410429
5,-11951570.707930017,23385267.63036941,-3385839.373221572
6,-11951594.69703329,23384715.213677667,-3389014.56034362
7,-11951618.572236858,23384162.42382323,-3392189.67266862
8,-11951642.33612181,23383609.258817814,-3395364.7141468194
9,-11951665.988013154,23383055.71935509,-3398539.6827494125
10,-11951689.52598062,23382501.806791812,-3401714.576328988
11,-11951712.884735247,23381947.553826503,-3404889.3988553146
12,-11951736.199523795,23381392.891681407,-3408064.1482799747
13,-11951759.401066406,23380837.856132403,-3411238.822495221
14,-11951782.491794424,23380282.445257556,-3414413.4254904133
15,-11951805.469200121,23379726.661052328,-3417587.9531189785
16,-11951828.336043904,23379170.50142887,-3420762.409350294
17,-11951851.090630839,23378613.96760461,-3423936.7921558693
18,-11951873.732222375,23378057.060329657,-3427111.0993886734
19,-11951896.19470113,23377499.81272521,-3430285.3350375434
20,-11951918.613947647,23376942.15568441,-3433459.49701484
21,-11951940.920196254,23376384.12523772,-3436633.5832330217
22,-11951963.115866031,23375825.719468385,-3439807.5976608563
23,-11951985.198982669,23375266.940097105,-3442981.5361921676
24,-11952007.171624595,23374707.78538018,-3446155.402795513
25,-11952029.03274587,23374148.256215908,-3449329.1953834672
26,-11952050.712424383,23373588.38872347,-3452502.9118687254
27,-11952072.350821916,23373028.110553093,-3455676.5561998365
28,-11952093.877526026,23372467.458066694,-3458850.1263290844
29,-11952115.292171564,23371906.431816515,-3462023.6201692903
30,-11952136.596304258,23371345.03033475,-3465197.0416489323
31,-11952157.78830219,23370783.2551632,-3468370.3866823562
32,-11952178.870061561,23370221.104650352,-3471543.6592176077
33,-11952199.772374032,23369658.61455107,-3474716.8572071735
34,-11952220.630735753,23369095.715934962,-3477889.978564184
35,-11952241.37968473,23368532.44160449,-3481063.027196857
36,-11952262.017358106,23367968.79286881,-3484236.001077568
37,-11952282.543210693,23367404.770378042,-3487408.898099819
38,-11952302.959318371,23366840.372381933,-3490581.722230888
39,-11952323.263550643,23366275.60068712,-3493754.4693858707
40,-11952343.457950769,23365710.45356929,-3496927.143472496
41,-11952363.473165117,23365144.966863826,-3500099.7424633913
42,-11952383.445503552,23364579.071215495,-3503272.2642523344
43,-11952403.308017856,23364012.800179414,-3506444.7128060954
44,-11952423.05983389,23363446.154571787,-3509617.086038122
45,-11952442.700587915,23362879.134948853,-3512789.381862058
46,-11952462.231685098,23362311.739895556,-3515961.604264231
47,-11952481.651474213,23361743.97098844,-3519133.749101099
48,-11952500.893359484,23361175.861606825,-3522305.8203390106
49,-11952520.093670856,23360607.34235985,-3525477.815951042
50,-11952539.182661373,23360038.449313957,-3528649.733791721
51,-11952558.16241519,23359469.180703923,-3531821.577846837
52,-11952577.0323882,23358899.537182994,-3534993.346010494
53,-11952595.791048992,23358329.519900236,-3538165.0362362433
54,-11952614.44047052,23357759.127097998,-3541336.652489846
55,-11952632.980257314,23357188.359361336,-3544508.1926259683
56,-11952651.340402663,23356617.252878726,-3547679.654618086
57,-11952669.660452612,23356045.735543907,-3550851.0424119253
58,-11952687.869611604,23355473.844316375,-3554022.3519046367
59,-11952705.969962366,23354901.577427123,-3557193.5870812377
60,-11952723.960939934,23354328.935549475,-3560364.7457966455
61,-11952741.840854643,23353755.919912472,-3563535.8260245994
